step,train_acc
0,0.109375
100,0.9453125
200,0.9609375
300,0.9765625
400,0.984375
500,0.96875
600,1.0
700,0.9765625
800,0.9921875
900,0.9765625
1000,0.9921875
1100,1.0
1200,1.0
1300,0.9921875
1400,1.0
1500,1.0
1600,0.9921875
1700,1.0
1800,0.9921875
1900,1.0
2000,0.984375
2100,1.0
2200,0.9921875
2300,0.9921875
2400,1.0
2500,1.0
2600,1.0
2700,1.0
2800,0.9921875
2900,1.0
3000,1.0
3100,1.0
3200,1.0
3300,1.0
3400,1.0
3500,1.0
3600,1.0
3700,0.9921875
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,1.0
5100,1.0
5200,1.0
5300,1.0
5400,1.0
5500,1.0
5600,1.0
5700,1.0
5800,1.0
5900,1.0
6000,1.0
6100,1.0
6200,1.0
6300,1.0
6400,1.0
6500,1.0
6600,1.0
6700,1.0
6800,1.0
6900,1.0
7000,1.0
7100,1.0
7200,1.0
7300,0.9921875
7400,1.0
7500,1.0
7600,1.0
7700,0.9921875
7800,1.0
7900,1.0
8000,1.0
8100,1.0
8200,1.0
8300,1.0
8400,1.0
8500,1.0
8600,1.0
8700,1.0
8800,1.0
8900,1.0
9000,1.0
9100,1.0
9200,1.0
9300,1.0
9400,1.0
9500,1.0
9600,1.0
9700,1.0
9800,1.0
9900,1.0
10000,1.0
10100,1.0
10200,1.0
10300,1.0
10400,1.0
10500,1.0
10600,1.0
10700,1.0
10800,1.0
10900,1.0
11000,1.0
11100,1.0
11200,1.0
11300,1.0
11400,1.0
11500,1.0
11600,1.0
11700,1.0
11800,1.0
11900,1.0
12000,1.0
12100,1.0
12200,1.0
12300,1.0
12400,1.0
12500,1.0
12600,1.0
12700,1.0
12800,1.0
12900,1.0
13000,1.0
13100,1.0
13200,1.0
13300,1.0
13400,1.0
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,1.0
14100,1.0
14200,1.0
14300,1.0
14400,1.0
14500,1.0
14600,1.0
14700,1.0
14800,1.0
14900,1.0
15000,1.0
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,1.0
15600,1.0
15700,1.0
15800,1.0
15900,1.0
16000,1.0
16100,1.0
16200,1.0
16300,1.0
16400,1.0
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,1.0
17200,1.0
17300,1.0
17400,1.0
17500,1.0
17600,1.0
17700,1.0
17800,1.0
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,0.9921875
18400,1.0
18500,1.0
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,1.0
19500,1.0
19600,1.0
19700,1.0
19800,1.0
19900,1.0
20000,1.0
20100,1.0
20200,1.0
20300,1.0
20400,1.0
20500,1.0
20600,1.0
20700,1.0
20800,1.0
20900,1.0
21000,1.0
21100,1.0
21200,1.0
21300,1.0
21400,1.0
21500,1.0
21600,1.0
21700,1.0
21800,1.0
21900,1.0
22000,1.0
22100,1.0
22200,1.0
22300,1.0
22400,1.0
22500,1.0
22600,1.0
22700,1.0
22800,1.0
22900,1.0
23000,1.0
23100,1.0
23200,1.0
23300,1.0
23400,1.0
23500,1.0
23600,1.0
23700,1.0
23800,1.0
23900,1.0
24000,1.0
24100,1.0
24200,1.0
24300,1.0
24400,1.0
24500,1.0
24600,1.0
24700,1.0
24800,1.0
24900,1.0
25000,1.0
25100,1.0
25200,1.0
25300,1.0
25400,1.0
25500,1.0
25600,1.0
25700,1.0
25800,1.0
25900,1.0
26000,1.0
26100,1.0
26200,1.0
26300,1.0
26400,1.0
26500,1.0
26600,1.0
26700,1.0
26800,1.0
26900,1.0
27000,1.0
27100,1.0
27200,1.0
27300,1.0
27400,1.0
27500,1.0
27600,1.0
27700,1.0
27800,1.0
27900,1.0
28000,1.0
28100,1.0
28200,1.0
28300,1.0
28400,1.0
28500,1.0
28600,1.0
28700,1.0
28800,1.0
28900,1.0
29000,1.0
29100,1.0
29200,1.0
29300,1.0
29400,1.0
29500,1.0
29600,1.0
29700,1.0
29800,1.0
29900,1.0
30000,1.0
30100,1.0
30200,1.0
30300,1.0
30400,1.0
30500,1.0
30600,1.0
30700,1.0
30800,1.0
30900,1.0
31000,1.0
31100,1.0
31200,1.0
31300,1.0
31400,1.0
31500,1.0
31600,1.0
31700,1.0
31800,1.0
31900,1.0
32000,1.0
32100,1.0
32200,1.0
32300,1.0
32400,1.0
32500,1.0
32600,1.0
32700,1.0
32800,1.0
32900,1.0
33000,1.0
33100,1.0
33200,1.0
33300,1.0
33400,1.0
33500,1.0
33600,1.0
33700,1.0
33800,1.0
33900,1.0
34000,1.0
34100,1.0
34200,1.0
34300,1.0
34400,1.0
34500,1.0
34600,1.0
34700,1.0
34800,1.0
34900,1.0
35000,1.0
35100,1.0
35200,1.0
35300,1.0
35400,1.0
35500,1.0
35600,1.0
35700,1.0
35800,1.0
35900,1.0
36000,1.0
36100,1.0
36200,1.0
36300,1.0
36400,1.0
36500,1.0
36600,1.0
36700,1.0
36800,1.0
36900,1.0
37000,1.0
37100,1.0
37200,1.0
37300,1.0
37400,1.0
37500,1.0
37600,1.0
37700,1.0
37800,1.0
37900,1.0
38000,1.0
38100,1.0
38200,1.0
38300,1.0
38400,1.0
38500,1.0
38600,1.0
38700,1.0
38800,1.0
38900,1.0
39000,1.0
39100,1.0
39200,1.0
39300,1.0
39400,1.0
39500,1.0
39600,1.0
39700,1.0
39800,1.0
39900,1.0
40000,1.0
40100,1.0
40200,1.0
40300,1.0
40400,1.0
40500,1.0
40600,1.0
40700,1.0
40800,1.0
40900,1.0
41000,1.0
41100,1.0
41200,1.0
41300,1.0
41400,1.0
41500,1.0
41600,1.0
41700,1.0
41800,1.0
41900,1.0
42000,1.0
42100,1.0
42200,1.0
42300,1.0
42400,1.0
42500,1.0
42600,1.0
42700,1.0
42800,1.0
42900,1.0
43000,1.0
43100,1.0
43200,1.0
43300,1.0
43400,1.0
43500,1.0
43600,1.0
43700,1.0
43800,1.0
43900,1.0
44000,1.0
44100,1.0
44200,1.0
44300,1.0
44400,1.0
44500,1.0
44600,1.0
44700,1.0
44800,1.0
44900,1.0
45000,1.0
45100,1.0
45200,1.0
45300,1.0
45400,1.0
45500,1.0
45600,1.0
45700,1.0
45800,1.0
45900,1.0
